"anio_regis","week_regis","ent_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","name","abr","date_ref"
2020,9,20,470,493.2,533.420731161162,533.420731161162,"OAXACA","OC",2020-02-26
2020,9,21,751,850.2,886.700015108847,886.700015108847,"PUEBLA","PL",2020-02-26
2020,9,22,212,247.8,259.433940301089,259.433940301089,"QUERÉTARO","QT",2020-02-26
2020,9,23,147,137.2,181.088987473644,181.088987473644,"QUINTANA ROO","QR",2020-02-26
2020,9,24,290,377,418.54011369386,418.54011369386,"SAN LUIS POTOSÍ","SP",2020-02-26
2020,9,25,327,313,366.606462565579,366.606462565579,"SINALOA","SL",2020-02-26
2020,9,26,380,370.8,404.45237802733,404.45237802733,"SONORA","SR",2020-02-26
2020,9,27,280,258,353.063013898405,353.063013898405,"TABASCO","TC",2020-02-26
2020,9,28,379,432.2,659.640385240014,659.640385240014,"TAMAULIPAS","TS",2020-02-26
2020,9,29,111,164.8,147.077683944471,147.077683944471,"TLAXCALA","TL",2020-02-26
2020,9,30,1065,1051.8,1138.10669417542,1138.10669417542,"VERACRUZ","VZ",2020-02-26
2020,9,31,242,262,276.29681156067,276.29681156067,"YUCATÁN","YN",2020-02-26
2020,9,32,206,197,253.700482540235,253.700482540235,"ZACATECAS","ZS",2020-02-26
2020,10,1,113,163.8,182.697348449666,182.697348449666,"AGUASCALIENTES","AS",2020-03-04
2020,10,2,433,444.4,544.954115292476,544.954115292476,"BAJA CALIFORNIA","BC",2020-03-04
